Name,Council,Ward,Headline,Description,DatePublished,Url,MediaOutlet,Descriptor
Giles Hall,Broxbourne,Flamstead End,How is Reform's charmless candidate still a contender in Gorton and ...,"“It's a wasted vote.” “Do you want to see Reform in power?” New polling ahead of the crucial Gorton and Denton byelection this week, while by no ...",,https://www.theguardian.com/commentisfree/2026/feb/25/reform-matt-goodwin-labour-gorton-and-denton-byelection-greens,,
Caroline Gladwin,Isle of Wight,Central Rural,Reform politician faces questions over rental property - The Negotiator,"Caroline Gladwin, who was elected as a councillor recently, is under fire for failing to maintain a flat she rented out.",,https://thenegotiator.co.uk/news/regulation-law-news/reform-politician-faces-questions-over-rental-property/,,
Caroline Gladwin,Isle of Wight,Central Rural,Caroline Gladwin removed as Reform UK councillor after internal ...,"In an extraordinary turn of events, a Reform UK spokesperson told the Local Democracy Reporting Service (LDRS) that Councillor Gladwin has had ...",,https://onthewight.com/caroline-gladwin-removed-as-reform-uk-councillor-after-internal-investigation-findings/,,
David Maclean,Isle of Wight,Lake North,Isle of Wight councillor 'must consider position' over attendance - BBC,"David Maclean has been absent from the first three education committee sessions, its chair says.",,https://www.bbc.co.uk/news/articles/clyvdlnezvpo,,
David Maclean,Isle of Wight,Lake North,'Struggling' councillor resigns after Tory criticism following family ...,"Cllr Caroline Gladwin, said that David Maclean, elected to represent Lake North just over three months ago, was still trying to support his family after the ...",,https://iwobserver.co.uk/struggling-councillor-resigns-after-tory-criticism-following-family-bereavement/,,
David Maclean,Isle of Wight,Lake North,Reform Councillor Asked To “Consider His Position” After Missing ...,"Reform UK's Cllr David Maclean has missed the first three sessions of the Isle of Wight Council's children's services, education and skills ...",,https://www.iwradio.co.uk/news-post/reform-councillor-asked-to-consider-his-position-after-missing-key-meetings,,
Oliver Freeston,North East Lincolnshire,Croft Baker,'Mental health is the new bad back' – North East Lincs councillor - BBC,"Oliver Freeston, a Reform UK member of North East Lincolnshire Council, made the remark while he was chairing the authority's health and ...",,https://www.bbc.co.uk/news/articles/cdxe7vy9291o,,
Paul Linehan,West Sussex,Bramber Castle,Reform picks candidate to become first mayor of Sussex,"The party said: “West Sussex county councillor and veteran Paul Linehan ... At the last local elections, in 2021, Councillor Linehan his seat in ...",,https://www.brightonandhovenews.org/2025/11/27/reform-picks-candidate-to-become-first-mayor-of-sussex/,,
Jaymey McIvor,Essex,Ongar and Rural,'Private parts' photo accusation heard at Essex council meeting - BBC,Labour Essex county councillor Aidan McGurran brought up allegations about Reform councillor Jaymey McIvor during a full council meeting on ...,,https://www.bbc.co.uk/news/videos/cwye1end11ro,,
Sharon Collings,Havant,Leigh Park Central & West Leigh,Reform UK's newly elected councillors put under investigation after ...,Sharon Collings and Victoria Rhodes were both elected to Havant Borough Council last week - the only two council seats Reform won in local ...,,https://www.dailymail.co.uk/news/article-13393491/Reform-UKs-newly-elected-councillors-investigation-revealed-praised-far-right-thug-Tommy-Robinson-brave-man-promoted-claims-far-Muslims-branded-London-world-cesspit.html,,
David Maclean,Isle of Wight,Lake North,"Lake North By-Election To Cost Taxpayers Over £5,000","The October 2 poll was triggered by the resignation of Reform UK councillor David Maclean, who stepped down just months after being elected ...",,https://www.iwradio.co.uk/news-post/lake-north-by-election-to-cost-taxpayers-over-5-000,,
David Maclean,Isle of Wight,Lake North,Reform councillor will be asked to consider committee role,"Reform UK's Cllr David Maclean has been absent from the first three sessions of the Isle of Wight Council's children's services, ...",,https://www.countypress.co.uk/news/25393287.reform-councillor-will-asked-consider-committee-role/,,
Julian Kirk,Norfolk,Marshland North,Reform councillor Julian Kirk accuses Conservatives of trying to ...,A councillor has accused his peers of trying to “save their own bacon” by agreeing to cancel the Norfolk County Council elections.,,https://www.lynnnews.co.uk/news/reform-councillor-says-peers-are-saving-their-own-bacon-wi-9450660/,,
Christopher Hudson,Suffolk,Belstead Brook,Ipswich Reform councillor slams decision to cancel elections,"Christopher Hudson, who represents Belstead Brook which includes Pinewood and Sproughton, described the decision as ""very dangerous"" and ...",,https://martini.eadt.co.uk/news/24858407.ipswich-reform-councillor-slams-decision-cancel-elections/,,
